txt,lbl,prob_positve
uuu,0,0.0702391266822815
chất_liệu li ke,0,0.0864032134413719
than k s shop,0,0.0736017078161239
đúng với mô tảđ,0,0.4282581806182861
chất_liệu đ c,0,0.1259568184614181
dép đi êm rẻ nhưng mới_đầu có mùi nồng nhưng sài lâu sẽ ht và dép hơi to nhưng giá có k thì k đòi_hỏi nhìu,0,0.2182426750659942
chất_liệu cao_su hay sao ý,0,0.047130063176155
chất_liệu cao_su,0,0.0517855510115623
chất_liệu cao_su,0,0.0517855510115623
n,0,0.0675678476691246
màu sắc đen t rắn v,0,0.0833427533507347
mua giá k cứ nghĩ chắc kh có mà ai_ngờ có thật,0,0.1298755705356598
sie dép hình_như nhỏ hơn bth nên mua số to để trừ_hao ạ,0,0.1499490886926651
chất_liệu cao_su,0,0.0517855510115623
ang hàng khá đẹp mà đi hôm đã bay mất s ti ke r haa khộ ko chất_lượng cho lắm,0,0.0539703927934169
đã nhận đx hàng dép đẹp giá rẻ nhưng về dép bị móp méo đi mấy hôm rồi vẫn vây,0,0.0838061049580574
đúng với mô_tả ko,0,0.3063646554946899
đặc_trị mụn đỏ mụn viêm mụn bọc mụn dị_ứng,0,0.0544264763593673
đặc_trị mụn đầu trắng mụn trứng_cá mụn cám nám tàn nhan,0,0.0678291469812393
chỉ,0,0.0470645949244499
rất nhỏ so với shop đưa ra đề_cử mn nên lấy tăng sie nhé,0,0.0818262696266174
"màu sắc đen_trắng , gấu",0,0.0477805733680725
chỉ là lúc đóng_gói hk có chống xóc nên hơi mất orm xíu,0,0.1244835406541824
chất_liệu chat liệu đ ư pb g k l l k n v c,0,0.0660307854413986
đúng với mô_tả có,0,0.4907273352146148
đã nhận được hàng,0,0.487544447183609
mình không có ảnh thật nhưng mua đơn đầu có k nên mình không đòi_hỏi nhiều,0,0.1315587759017944
chất_liệu cao_su,0,0.0517855510115623
màu_sắc đỏ,0,0.0647682324051857
chất_liệu sắt,0,0.0471499003469944
đúng với mô_tả không,0,0.065168984234333
dép có đánh_giá để được xu hay gì thì cũng phải_biết cách đánh_giá,0,0.0495093166828155
màu_sắc giống với mô_tả,0,0.2605446279048919
hàng ok nhưng mùi hơi nồng ut d x hg ap u q n ko a b k mang tính nhận xuu,0,0.0468147844076156
chất_liệu silic on,0,0.0492684915661811
sợ đẹp đánh_giá sao,0,0.0668689981102943
"mình đi sie nhưng sie này có_vẻ hơi rộng , mn nên chọn lùi về sie",0,0.0794223174452781
"màu sắc đen_trắng , có hoạ_tiết",0,0.1351866126060485
chất_liệu e va,0,0.049017135053873
đúng với mô tản hận đúng sản_phẩm,0,0.142807587981224
hàng lỗi k chấp_nhận được,0,0.0540487393736839
sản_phẩm này okk nha hình_ảnh chỉ mang tính_chất nhận xuu,0,0.4687802493572235
chất_liệu cao_su,0,0.0517855510115623
mua lần đầu giá o,0,0.3077967762947082
hơi mùi xíu nhưng không sao,0,0.2805585563182831
màng bọc thực_phẩm set có chun co_dãn tái_sử_dụng kèm túi gấu,0,0.396960437297821
"video và hình_ảnh chỉ để lấy x u , hàng cũng uki nha mọi người , mùi hơi nồng xíu",0,0.2597618699073791
chất_liệu cao_su mềm,0,0.0718568414449691
đúng với mô_tả sao,0,0.0683809667825698
ảnh mang tính chat nhạn xu,0,0.4159678816795349
chất_liệu mềm sơ_sơ,0,0.0955116972327232
hàng oke lắm nha mm nhưng_mà hình dán hơi lệch,0,0.3694002032279968
hơi chật tý,0,0.1221981197595596
chất_liệu cao_su,0,0.0517855510115623
sản_phẩm giống qc,0,0.1632959395647049
màu_sắc đúng vs mô_tả,0,0.4866476356983185
đúng với mô tảo ke e la,0,0.0745921209454536
"đúng với mô tảk đúng , dép trơn k có hình con gấu trên quai dép",0,0.1445134133100509
màu_sắc trắng_trơn k giống hình,0,0.0545413196086883
chắc sẽ chọn sie m lần sau phòng béo lên ka ka,0,0.1164499148726463
h h di d de i d n d di d d,0,0.0520760677754879
"mình cao m , nặng kg mặc sie m bụng hơi rộng xíu xiu còn lại là vừa in nha",0,0.3336039781570434
"chất vải cũng o k , nhưng nhầm sie s thành sie sl",0,0.047137577086687
"mề m , m ịn",0,0.1311536878347396
nói_chung là tuy ệ,0,0.0897818505764007
chất_liệu cung duoc,0,0.1620378494262695
đ cho shop p,0,0.1248944923281669
chất_liệu vải trơn,0,0.0639438405632972
màu_sắc xanh,0,0.1221943274140358
màu_sắc n đúng,0,0.1470164060592651
đúng với mô_tả ý e,0,0.3924663066864013
chất_liệu vải,0,0.0739862024784088
màu_sắc den,0,0.0635563656687736
xin k nha,0,0.0589519590139389
mình m nặng_kí mặc áo qua mông,0,0.0759689137339592
lúc đầu mua sợ mũ nhỏ mà không nhỏ đâu rộng lắn lun nè,0,0.1846026182174682
chất_liệu da,0,0.0658071041107177
chất_liệu vải da,0,0.0526637509465217
với,0,0.157862514257431
nhưng túi hơi bẩn nha,0,0.2970907986164093
chất_liệu da,0,0.0658071041107177
túi ở dưới đáy bị lỗi như g vẫn còn vớt_vát lại đc tí,0,0.0564888566732406
chất_liệu da,0,0.0658071041107177
đúng với mô_tả tạm,0,0.2060731798410415
túi khá nhỏ trông không được chắc_chắn như trên mẫu chụp nhưng với giá vậy thì cũng không mong_đợi nhiều,0,0.1325032413005828
mình mua có k nên cx ko đòi_hỏi gì,0,0.1599513292312622
chất_liệu cũng được,0,0.4820054769515991
chất_liệu da,0,0.0658071041107177
"túi giống với hình đăng , có đều kích_thước túi khá nhỏ",0,0.0531656518578529
chất_liệu da,0,0.0658071041107177
chất_liệu da,0,0.0658071041107177
chất_liệu da,0,0.0658071041107177
mình đặt túi quai xách nhún nma shop hết hàng gửu mk mẫu túi mà mk cũng đang có ý_định mua,0,0.214714378118515
chất_liệu da,0,0.0658071041107177
đúng với mô tảo k,0,0.0556600503623485
shop chú_ý khâu đóng_gói ạ,0,0.1305145621299743
"đóng_gói cẩn_thận , giao n h anh , hàng đẹp nhưng cs vết xước nhỏ_xíu",0,0.1598107516765594
n,0,0.0675678476691246
chất_liệu da mem,0,0.0819925665855407
kkk,0,0.0661392733454704
chất_liệu da,0,0.0658071041107177
đúng với mô_tả ko,0,0.3063646554946899
chất_liệu da,0,0.0658071041107177
đúng với mô tảy hình,0,0.3630732595920563
màu_sắc chịu,0,0.0513001158833503
đúng với mô_tả chịu,0,0.4253013134002685
chất_liệu da,0,0.0658071041107177
c,0,0.0728700757026672
chất_liệu da,0,0.0658071041107177
chất_liệu da,0,0.0658071041107177
chất_liệu da,0,0.0658071041107177
với giá này,0,0.3574846982955932
k đúng với mô_tả,0,0.0484187491238117
đúng với mô tảk đúng,0,0.3173571228981018
de thuong dang iu cut e pho mai que hơi cứng xíu nma quá là rẻ,0,0.1298039704561233
tớ săn được với giá k,0,0.3139121532440185
sao o,0,0.0722944140434265
màu_sắc be,0,0.0554174929857254
đúng với mô_tả ko,0,0.3063646554946899
"chất_lượng sản_phẩm tốt nhưng k giao đúng mẫu nên hơi thất_vọng nên mong shop lưu_ý giúp , sản_phẩm quay khi đã sử_dụng",0,0.0722125768661499
chất_liệu cao_su,0,0.0517855510115623
màu_sắc trà sữa,0,0.1340949684381485
chất_liệu cao_su,0,0.0517855510115623
vẫn còn vài chỗ bị dính keo,0,0.0634135082364082
chất_liệu d c,0,0.0572654046118259
màu_sắc giống hình,0,0.4342775046825409
đúng với mô tảo k,0,0.0556600503623485
đặt,0,0.2291591465473175
màu_sắc e,0,0.0749335885047912
đúng với mô tảr,0,0.3546478152275085
chất_liệu r,0,0.0474891886115074
màu_sắc hồng,0,0.0600624606013298
ca ngày,0,0.0633255988359451
đ,0,0.0689882412552833
h,0,0.1085540726780891
ca đêm,0,0.2261199206113815
đ,0,0.0689882412552833
h,0,0.1085540726780891
lương cơ_bản,0,0.0976835563778877
đ,0,0.0689882412552833
chất_liệu tót,0,0.0648003369569778
màu_sắc cũng đ,0,0.2624746263027191
đúng với mô tảo k,0,0.0556600503623485
dép hơi cứng và thô nhưng bn nào chân nhỏ mang sẽ đẹp,0,0.3824906945228576
chất_liệu cao_su,0,0.0517855510115623
màu_sắc be_be be,0,0.2591575086116791
đúng với mô tản o,0,0.1894997209310531
chất_liệu cao_su,0,0.0517855510115623
đúng với mô tảo k,0,0.0556600503623485
dép đẹp nhưng khi khui hàng trên dép có vài vết b nhưng tẩy được,0,0.1902695447206497
đúng với mô_tả đúng nha mấy cha,0,0.4782288372516632
sản_phẩm đẹp rẻ đặt diễn nhưng giao si e nhỏ hơn,0,0.1050218567252159
"giá rẻ , đẹp nhg dép to ạ mùi ghê chết ạ , giao sai sie ạ",0,0.2124196887016296
đúng với mô_tả đúng với mô_tả không bị bẩn như dép khác rửa là trôi luôn,0,0.0927570238709449
pa ge,0,0.0591905526816844
lh d,0,0.0546886548399925
màu_sắc trắng tuy hơi bẩn nhưng đánh được,0,0.3112232983112335
hình_ảnh vs video không liên_quan nhưng_mà nên mua dép nha mn,0,0.474368691444397
màu_sắc đúng với mô_tả,0,0.471092015504837
"dép đẹp , nhưng chân mình nhỏ nên sie vẫn to , hình_ảnh chỉ mang tính_chất nhận xu",0,0.0793957784771919
đúng với mô tảo k,0,0.0556600503623485
c minh_hoạ,0,0.0685973390936851
chất_liệu k bt,0,0.0503311417996883
đúng với mô_tả ko biết,0,0.0670870915055275
chất_liệu cao_su,0,0.0517855510115623
đúng với mô_tả h s k s d h,0,0.0578622482717037
lớp nha_khoa có thấu_hiểu những thông_tin và sự_nghiệp công,0,0.0979882553219795
đúng với mô tảo k,0,0.0556600503623485
đúng với mô_tả khá giống,0,0.2182146608829498
đúng với mô_tả ko bt nx,0,0.049193687736988
kích thu ơ cs khá to nên mn đặt thì nên đặt lùi về sie nhé,0,0.0615868791937828
chất_liệu cao_su,0,0.0517855510115623
đặt sie nhưng lòng dép om hơi nhỏ,0,0.0493419095873832
đúng với mô tảo k,0,0.0556600503623485
đúng với mô tảo k,0,0.0556600503623485
nói_chung là tạm ổn,0,0.1114934459328651
chất_liệu đúc,0,0.0496294982731342
"giao hàng n h anh , mùi nhựa ghê lắm săn sa le được k nên k đòi_hỏi gì hơn",0,0.0619353987276554
đúng với mô_tả có,0,0.4907273352146148
màu_sắc giống hình,0,0.4342775046825409
mik săn được k thi k quá tr,0,0.0664846152067184
màu_sắc hồng,0,0.0600624606013298
mình đặt mà shop giao nên đeo hơi bự,0,0.055095124989748
màu_sắc đúng với sp,0,0.4503438472747803
chất_liệu k biet,0,0.0540763214230537
chất_liệu cao_su,0,0.0517855510115623
đúng với mô_tả đúng v,0,0.2795703709125519
chất_liệu xốp nhẹ,0,0.1399741768836975
chất_liệu cau su,0,0.0551320537924766
"chất_lượng ok , đúng mô_tả , gia_công chưa cứng_cáp cho lắm , hơi lỏng lẹo và dễ hỏng",0,0.2651584446430206
chỗ nghe hơi nhỏ so với tai thằng bạn,0,0.0542230121791362
vì mua hộ nó nên v deo và ảnh chỉ mang tính_chất minh_hoạ thôi nha,0,0.1713050752878189
có_thể gấp gọn lại được,0,0.1351076662540435
sản_phẩm giống hình đóng_gói cẩn t hạn như mg mà sao lết nối đt mình thì chỉ nghe đc bên còn đt khác vẫn nghe đc bên,0,0.2510730326175689
chất_lượng sản_phẩm nhựa,0,0.0920556113123893
nhưng đeo hơi đâu tai,0,0.0776584595441818
b b n m,0,0.0542382523417472
"ba s s to , rõ_ràng , nhưng chưa biết độ bền phải dùng thời_gian mới đánh_giá được",0,0.1403520107269287
chất_lượng sản_phẩm ổn_áp,0,0.4117915034294128
chất_lượng sản_phẩm tạm ổn,0,0.2448889464139938
"tai nghe không xài được ạ , này mua đơn đầu_tiên nên cũng coi như là mua về trưng_bày cho đẹp thoi",0,0.0769908428192138
hộp hơi bị móp,0,0.0749170184135437
shop nên cho thêm chống sốc vì hàng này rơi là k sử_dụng được,0,0.0506370477378368
tuy_nhiên mỗi lần kết_nối lại mới mở lên thì sẽ mất âm_thanh cỡ chữ,0,0.0924529135227203
cái khớp lúc mới mở ra hơi sợ gãy xíu,0,0.1481087654829025
ấy,0,0.0710159242153167
điểm trừ duy_nhất là cái dây đi kèm nó hơi chấm tí,0,0.0953943580389022
dùng tốt cho hỏi shop một_chút làn út nguồn nó bị mà khó bấm vậy mong shop p rep p,0,0.1892535835504531
cũng chẵn g có ai vĩnh_viễn luôn bên bạn,0,0.238348126411438
đrt có gì nói_chuyện gì không có tiền thì con sẽ đi lm gì đâu anh ạ anh không biết nói sao nghe máy đi anh không biết,0,0.070127859711647
chất_lượng sản_phẩm khá ổn nhưng lúc mik nhận về thì tai nghe có vết trầy_xước khá nhiều,0,0.2787495851516723
chất_lượng sản_phẩm chưa dùng nên chưa biết,0,0.2076652497053146
giao hàng nhanh cái khâu chuẩn_bị hàng chậm nhé,0,0.1224274411797523
mik tặng r nên k chụp ảnh đc,0,0.2604204714298248
ư ư ư ư ư học_sinh giỏi lớp đại_học sư_phạm kỹ_thuật_số sản_phẩm của mình và người_thân của mình,0,0.1593864858150482
như hình,0,0.1807053387165069
có_điều chưa đủ pin nên chưa sử_dụng được,0,0.1661461591720581
dùng ổn nhưng màu không được như mong_đợi,0,0.1252174526453018
có_vẻ pin hết_hơi nhanh,0,0.0489844903349876
tai nghe mình thấy nghe ổn nhưng đeo lâu thì đau tai nhé mn g g,0,0.1400045156478881
